player,url,recruiting_rank,height,weight,composite_rating,high_school,city,state,draft_projection,reminds_of,evaluated_date,analyst,athletic_background,committed_school,numerical_rating,Is_FBS,Is_SEC,Is_Big_Ten,Is_Big_XII,Is_ACC,pos_DUAL,pos_PRO,pos_QB,star_2,star_3,star_4,star_5,Is_Top_Five_Ranked,Is_From_East,Is_From_West,weight_to_height_ratio,bmi,Accuracy_sentiment_score,Arm_Strength_sentiment_score,Mobility_and_Athleticism_sentiment_score,NFL_Draft_Projection_sentiment_score,Pocket_Presence_sentiment_score,Size_and_Physical_sentiment_score,games_played_player_after_enrollment,completions_player_after_enrollment,attempts_player_after_enrollment,completion_pct_player_after_enrollment,yards_player_after_enrollment,touchdowns_player_after_enrollment,touchdown_pct_player_after_enrollment,interceptions_player_after_enrollment,interception_pct_player_after_enrollment,yards_per_attempt_player_after_enrollment,adjusted_yards_per_attempt_player_after_enrollment,yards_per_completion_player_after_enrollment,yards_per_game_player_after_enrollment,passing_rating_player_after_enrollment,seasons_played_player_after_enrollment,recruiting_class,year_before_enrollment,games_played_team_before_enrollment,ppg_team_before_enrollment,passing_completions_team_before_enrollment,passing_attempts_team_before_enrollment,passing_pct_team_before_enrollment,passing_yards_team_before_enrollment,passing_touchdowns_team_before_enrollment,rushing_attempts_team_before_enrollment,rushing_yards_team_before_enrollment,rushing_average_team_before_enrollment,rushing_touchdowns_team_before_enrollment,offensive_plays_team_before_enrollment,offensive_yards_team_before_enrollment,offensive_average_team_before_enrollment,first_down_passes_team_before_enrollment,first_down_rushes_team_before_enrollment,first_down_penalties_team_before_enrollment,first_downs_team_before_enrollment,penalty_counts_team_before_enrollment,penalty_yards_team_before_enrollment,fumbles_team_before_enrollment,interceptions_team_before_enrollment,total_turnovers_team_before_enrollment,overall_wins_team_before_enrollment,overall_losses_team_before_enrollment,overall_win_pct_team_before_enrollment,conference_wins_team_before_enrollment,conference_losses_team_before_enrollment,conference_win_pct_team_before_enrollment,ppg_offense_team_before_enrollment,ppg_defense_team_before_enrollment,srs_team_before_enrollment,sos_team_before_enrollment,ap_pre_team_before_enrollment,ap_high_team_before_enrollment,ap_rank_team_before_enrollment,final_ranking_team_AP_top_10_before_enrollment,highest_ranking_team_AP_top_10_before_enrollment,TD/INT_Ratio_player_after_enrollment
Cameron Edge,https://247sports.com/player/cameron-edge-46094200/,60,73.0,190,86,"Smyrna (Smyrna, DE)",Smyrna,DE,Power 4 Starter,,08/18/2020,Brian Dohn,H.S. Athletic BackgroundPlayed at Hyattsvile (Md.) DeMatha Catholic prior to junior season.Spring 2021: Played abbreviated spring season as a sophomore for DeMatha.,Maryland,8599.5,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,2.602739726027397,25.064740101332333,0.16,0.1,0.08,0.16,0.0,0.7,2.0,2.75,4.25,64.6,41.75,0.5,11.8,0.25,5.55,9.75,9.605,15.05,41.75,174.25,2,2022,2021,13,29.3,26.1,37.6,69.3,304.6,2.1,33.2,137.3,4.1,1.5,70.8,441.9,6.2,12.6,9.4,1.3,23.3,6.8,57.2,0.5,0.9,1.4,7,6,0.538,3.0,6.0,0.333,29.3,30.7,3.44,4.36,,,,0,0,2.0
Carson Beck,https://247sports.com/player/carson-beck-46053141/,13,76.5,226,92,"Mandarin (Jacksonville, FL)",Jacksonville,FL,4-7 Round - Day 3,DeShone Kizer (Green Bay Packers),02/24/2019,John Garcia Jr.,H.S. Athletic BackgroundBeck was award Mr. Football in the state of Florida for 2018 after leading Mandarin High School to a Class 8A state championship.Former SEC baseball prospect with AAU basketball background as well.,Georgia,9199.5,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,2.954248366013072,27.148190866760647,0.125,0.125,0.2688,0.2,0.0,0.2833,9.5,12.5275,18.7625,63.725,159.47500000000002,1.2325,8.05,0.4625,3.1999999999999997,8.475,8.5975,13.625,159.47500000000002,154.675,4,2020,2019,14,30.8,18.2,29.6,61.4,223.0,1.9,37.1,185.9,5.0,1.5,66.8,408.9,6.1,10.3,9.1,1.7,21.1,5.4,49.1,0.5,0.4,0.9,12,2,0.857,7.0,1.0,0.875,30.8,12.6,17.64,5.21,3.0,3.0,4.0,1,1,2.6648648648648647
Christopher Vizzina,https://247sports.com/player/christopher-vizzina-46103580/,10,75.0,211,95,"Briarwood Christian (Birmingham, AL)",Birmingham,AL,2-3 Round - Day 2,Mitch Trubisky (Pittsburgh Steelers),01/13/2022,Cooper Petagna,H.S. Athletic Background2022: Completed 64.1% of passing attempts at Briarwood High School during his senior campaign.2021: Led Briarwood High School (6A) to a 10-2 season.,Clemson,9499.5,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2.813333333333333,26.37031111111112,-0.0381,0.35,0.0917,0.025,0.3958,0.1667,6.0,5.855,9.53,59.65,54.150000000000006,0.4,2.8,0.1,0.7,5.65,5.9,9.5,54.150000000000006,115.0,2,2023,2022,14,33.2,21.3,34.3,62.1,232.4,1.7,39.0,177.9,4.6,2.2,73.3,410.3,5.6,10.4,10.2,2.4,22.9,5.4,48.2,0.9,0.7,1.6,11,3,0.786,8.0,0.0,1.0,33.2,20.9,13.59,3.3,4.0,4.0,13.0,0,1,4.0
Devin Brown,https://247sports.com/player/devin-brown-46084902/,5,74.5,196,97,"Corner Canyon (Draper, UT)",Draper,UT,2-3 Round - Day 2,Sam Darnold (Seattle Seahawks),07/03/2021,Blair Angulo,"H.S. Athletic BackgroundPlayed at Queen Creek (Ariz.) before transferring to Draper (Utah) Corner Canyon for his senior season.2021: As a senior, led Corner Canyon to a 12-2 record and a Utah 6A state runner-up finish.2020: Led Queen Creek to a 6-3 record as a junior and an Arizona 6A first-round playoff appearance.2019: Varsity as a sophomore and helped Queen Creek to a 9-4 record and the Arizona 6A state semifinals.",Ohio State,9699.5,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,2.6308724832214767,24.825548398720777,0.3667,0.3033,-0.1944,0.0,0.0,-0.05,7.5,1.9449999999999998,3.4450000000000003,56.05,24.450000000000003,0.22,6.05,0.085,1.8,6.75,7.135,12.0,24.450000000000003,129.05,2,2022,2021,13,45.7,26.8,38.0,70.6,380.9,3.5,32.3,180.8,5.6,1.8,70.3,561.7,8.0,16.5,9.0,1.2,26.8,6.5,59.2,0.2,0.6,0.8,11,2,0.846,8.0,1.0,0.889,45.7,22.8,19.53,5.53,4.0,2.0,6.0,1,1,2.5882352941176467
Drew Allar,https://247sports.com/player/drew-allar-46096466/,1,76.5,232,100,"Medina (Medina, OH)",Medina,OH,First Round,Josh Allen (Buffalo Bills),01/06/2022,Gabe Brooks,H.S. Athletic Background2021: Led Medina to a 13-1 record and an Ohio Division I Region I runner-up finish.2020: Led Medina to an Ohio Division I Region I runner-up finish.,Penn State,9999.5,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,3.0326797385620914,27.86893929685164,0.2778,0.3333,-0.102,-0.0667,0.0,0.4926,11.25,13.75,21.75,62.375,157.0,1.2875,6.05,0.2875,1.1,6.95,7.68,11.125,157.0,138.65,4,2022,2021,13,25.0,22.4,37.4,59.9,268.5,1.9,33.6,107.8,3.2,0.8,71.0,376.4,5.3,12.2,7.0,1.2,20.3,5.4,46.6,0.4,0.8,1.2,7,6,0.538,4.0,5.0,0.444,25.0,17.3,11.22,5.53,19.0,4.0,,0,1,4.478260869565218
Garrett Nussmeier,https://247sports.com/player/garrett-nussmeier-46054223/,19,73.5,182,94,"Flower Mound Marcus (Flower Mound, TX)",Flower Mound,TX,4-7 Round - Day 3,Tommy DeVito (Illinois Fighting Illini),02/16/2020,Gabe Brooks,H.S. Athletic Background2019: Earned District 6-6A Overall MVP honors as a junior; led Marcus to an 11-2 record and Texas 6A D-II third-round playoff appearance.Plays select 7-on-7 for Texas Flex based in the Dallas-Fort Worth Metroplex.,LSU,9399.5,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,2.4761904761904763,23.68383543893748,0.4,0.1438,0.0,-0.0179,1.0,0.0917,8.0,13.807999999999998,21.96,61.17999999999999,161.35999999999999,1.068,4.86,0.538,2.7199999999999998,7.459999999999999,7.204000000000001,12.180000000000001,161.35999999999999,134.38,5,2021,2020,10,32.0,24.7,42.1,58.7,312.2,2.4,36.5,121.7,3.3,0.9,78.6,433.9,5.5,14.5,7.7,1.2,23.4,6.1,46.2,0.4,0.9,1.3,5,5,0.5,5.0,5.0,0.5,32.0,34.9,6.64,7.54,6.0,6.0,,0,1,1.9851301115241635
Gavin Wimsatt,https://247sports.com/player/gavin-wimsatt-46096758/,25,75.0,200,91,"Owensboro (Owensboro, KY)",Owensboro,KY,4-7 Round - Day 3,Jarrett Stidham (Las Vegas Raiders),02/17/2021,Gabe Brooks,"H.S. Athletic BackgroundThree-sport background in football, basketball, and baseball.2020: As a junior, led Owensboro to a 12-1 record and a Kentucky 5A state championship game appearance.2019: Breakout sophomore season saw Wimsatt lead Owensboro to a 12-2 record and a Kentucky 5A state semifinal berth.",Rutgers,9099.5,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,2.6666666666666665,24.995555555555555,0.0,0.2333,0.2604,0.11,0.35,0.4425,8.333333333333334,6.993333333333333,15.183333333333332,45.166666666666664,79.8,0.43999999999999995,2.1666666666666665,0.6666666666666666,5.7,4.433333333333334,2.3266666666666667,9.733333333333333,79.8,78.36666666666667,3,2021,2020,9,26.7,22.0,35.1,62.7,198.8,1.6,37.6,142.4,3.8,1.4,72.7,341.2,4.7,9.2,7.8,2.0,19.0,7.4,60.6,0.6,1.0,1.6,3,6,0.333,3.0,6.0,0.333,26.7,32.1,-2.38,3.18,,,,0,0,0.6599999999999999
Graham Mertz,https://247sports.com/player/graham-mertz-46038869/,7,75.0,205,93,"Blue Valley North (Mission, KS)",Mission,KS,4-7 Round - Day 3,Brandon Weeden (Houston Texans),10/05/2018,,"H.S. Athletic BackgroundGraham Mertz is a 6-3, 205-pound Pro-Style Quarterback from Mission, KS.",Wisconsin,9299.5,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,2.7333333333333334,25.620444444444445,0.3708,0.7,0.3188,0.1139,0.25,-0.1,8.5,12.024999999999999,19.55,66.975,135.5,0.91,3.7,0.5974999999999999,2.5,7.025,6.64,10.8,135.5,133.2,4,2019,2018,13,25.4,13.6,23.1,59.0,160.2,0.8,43.3,211.1,4.9,2.0,66.4,371.2,5.6,8.0,10.5,1.5,20.1,5.4,43.6,0.8,1.0,1.8,8,5,0.615,5.0,4.0,0.556,29.7,22.6,7.68,2.6,4.0,4.0,,0,1,1.5230125523012554
Gunner Stockton,https://247sports.com/player/gunner-stockton-46059056/,7,73.0,220,94,"Rabun County (Tiger, GA)",Tiger,GA,2-3 Round - Day 2,,08/30/2021,Chris Singletary,H.S. Athletic BackgroundAlso plays baseball.2020: MaxPreps Junior All-American second-team selection; led Rabun County to a 12-2 record and a Georgia AA state semifinal appearance.2019: MaxPreps All-American first-team selection as a sophomore; led Rabun County to a 12-1 record and a Georgia third-round playoff appearance.2018: MaxPreps Freshman All-American selection; led Rabun County to an 11-2 record and a Georgia AA third-round playoff appearance.,Georgia,9399.5,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,3.0136986301369864,29.022330643647965,0.4167,0.075,0.0407,,0.2815,-0.225,7.666666666666667,10.4,15.050000000000002,67.73333333333333,110.56666666666666,0.8033333333333333,6.1000000000000005,0.27,2.733333333333333,7.3999999999999995,7.390000000000001,10.966666666666669,110.56666666666666,144.5,3,2022,2021,15,38.6,17.6,27.1,64.9,251.9,2.6,36.1,191.2,5.3,1.9,63.2,443.1,7.0,10.9,10.0,1.8,22.7,5.1,43.2,0.3,0.8,1.1,14,1,0.933,8.0,0.0,1.0,38.6,10.2,24.62,5.62,5.0,1.0,1.0,1,1,2.9753086419753085
Harrison Bailey,https://247sports.com/player/harrison-bailey-83301/,8,77.0,211,95,"Marietta (Marietta, GA)",Marietta,GA,2-3 Round - Day 2,Kyle Orton (Buffalo Bills),10/05/2018,,"H.S. Athletic BackgroundHarrison Bailey is a Quarterback from Powder Springs, GA.",Tennessee,9499.5,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,2.74025974025974,25.018215550683085,0.4,0.7,0.31,0.0,0.4,0.0,3.5,5.5,9.15,56.75,56.15,0.335,2.95,0.165,1.45,5.4,5.32,8.65,56.15,108.8,2,2020,2019,13,24.2,15.4,27.7,55.6,221.4,1.5,35.4,144.3,4.1,1.0,63.1,365.7,5.8,9.5,7.1,2.0,18.5,6.4,52.5,0.5,1.0,1.5,8,5,0.615,5.0,3.0,0.625,24.2,21.7,5.13,2.74,,,,0,0,2.0303030303030303
Haynes King,https://247sports.com/player/haynes-king-46049892/,10,74.5,189,95,"Longview (Longview, TX)",Longview,TX,,,01/22/2021,,"H.S. Athletic BackgroundThree-sport athlete in football, basketball, and track and field (400 meters, relays, 2019 district champion in the discus). Finished high school career with 37-2 record as a starter.2019: Named the District 11-6A Offensive MVP as a senior.2018: Led Longview to a 16-0 record and the Texas 6A D-II state championship; Was a Class 6A first-team all-state selection by both AP and TSWA; Named the District 11-6A Co-Offensive MVP2017: Led Longview to a 13-2 record and the Texas Class 6A Division II state semifinals.",Texas A&M,9499.5,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2.5369127516778525,23.93892167019504,0.5867,0.38,0.1488,0.0,-0.6,0.0875,3.3333333333333335,9.766666666666667,16.900000000000002,56.166666666666664,127.60000000000001,0.89,11.466666666666667,1.0,12.266666666666666,9.966666666666667,6.73,18.266666666666666,127.60000000000001,153.13333333333333,3,2020,2019,13,29.5,21.0,34.8,60.4,235.4,1.7,32.5,159.8,4.9,1.8,67.3,395.2,5.9,11.7,8.8,1.6,22.1,6.7,55.4,0.8,0.8,1.5,8,5,0.615,4.0,4.0,0.5,29.5,22.5,10.02,5.09,12.0,12.0,,0,0,0.89
Heinrich Haarberg,https://247sports.com/player/heinrich-haarberg-46098254/,40,77.0,185,88,"Kearney Catholic (Kearney, NE)",Kearney,NE,Power 4 Starter,Tommy Stevens (New Orleans Saints),05/11/2020,Allen Trieu,"H.S. Athletic BackgroundHeinrich Haarberg is a 6-5, 185-pound Dual-Threat Quarterback from Kearney, NE.",Nebraska,8799.5,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2.4025974025974026,21.935402260077584,0.5,0.7,0.3,0.2,0.3,0.0,11.0,4.265,8.6,52.3,52.56,0.35,2.25,0.38999999999999996,5.05,5.9,4.075,11.35,52.550000000000004,99.1,2,2021,2020,8,23.1,19.5,28.6,68.1,190.1,0.6,41.8,201.4,4.8,1.9,70.4,391.5,5.6,8.5,11.4,1.5,21.4,6.8,60.6,1.1,1.1,2.3,3,5,0.375,3.0,5.0,0.375,23.1,29.4,0.14,5.14,,,,0,0,0.8974358974358975
Hudson Card,https://247sports.com/player/hudson-card-46048769/,6,74.5,179,95,"Lake Travis (Austin, TX)",Austin,TX,2-3 Round - Day 2,Will Grier (Carolina Panthers),10/26/2018,,H.S. Athletic Background2017: Was named the District 25-6A Offensive Newcomer of the Year as a sophomore,Texas,9499.5,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2.402684563758389,22.672312058015404,0.4,0.6,0.1008,0.101,0.2,0.1917,7.333333333333333,4.376666666666666,6.966666666666666,54.699999999999996,51.199999999999996,0.37666666666666665,3.8666666666666667,0.07,0.7000000000000001,5.8,6.243333333333332,9.666666666666666,51.199999999999996,114.66666666666667,3,2020,2019,13,35.2,23.5,36.2,65.1,289.3,2.5,36.8,177.2,4.8,2.0,72.9,466.5,6.4,13.1,10.0,1.9,25.0,7.3,68.5,0.3,0.8,1.1,8,5,0.615,5.0,4.0,0.556,35.2,27.5,12.18,5.8,10.0,9.0,25.0,0,1,5.3809523809523805
J.J. McCarthy,https://247sports.com/player/jj-mccarthy-46042742/,6,75.0,190,97,"IMG Academy (La Grange Park, IL)",La Grange Park,IL,Second Round,Kyle Allen (Pittsburgh Steelers),11/06/2020,Gabe Brooks,"H.S. Athletic BackgroundPlayed at La Grange Park (Ill.) Nazareth Academy through his junior season before transferring to IMG Academy in Bradenton, Fla., for his senior year. Led Nazareth Academy to a 13-1 record as a junior in 2019.",Michigan,9699.5,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,2.533333333333333,23.74577777777777,0.1042,0.2536,0.0,0.0,-0.0034,0.0,13.333333333333334,11.33,16.82,64.83333333333333,146.83333333333334,1.1633333333333333,7.3,0.27,2.066666666666667,8.700000000000001,9.273333333333333,13.6,146.83333333333334,158.23333333333335,3,2021,2020,6,28.3,20.5,35.5,57.7,250.3,1.5,28.7,131.0,4.6,2.0,64.2,381.3,5.9,11.8,6.0,1.5,19.3,5.8,57.5,0.3,0.7,1.0,2,4,0.333,2.0,4.0,0.333,28.3,34.5,-1.25,3.25,16.0,13.0,,0,0,4.308641975308642
Jackson Arnold,https://247sports.com/player/jackson-arnold-46115051/,4,73.0,205,99,"Denton Guyer (Denton, TX)",Denton,TX,First Round,Taylor Heinicke (Washington Commanders),12/18/2021,Gabe Brooks,H.S. Athletic BackgroundAlso plays baseball.2021: Texas District 5-6A Co-MVP as a junior. Helped lead Guyer to the Class 6A-Division II state championship game2020: Second-string QB behind Texas A&M 2021 four-star signee Eli Stowers.2019: Forced into action as a freshman in the first quarter of the Texas 6A D-II state championship game vs. Austin Westlake (24-3 loss) when Eli Stowers got injured.-- Gabe Brooks,Oklahoma,9899.5,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,2.808219178082192,27.043535372490147,0.2,0.4033,0.0104,0.0,0.4,0.0833,8.5,10.845,17.23,63.2,111.25,0.885,5.35,0.365,2.75,7.0,6.78,11.0,111.25,133.75,2,2023,2022,13,32.8,19.3,31.3,61.7,254.6,2.1,44.7,219.4,4.9,2.2,76.0,474.0,6.2,10.6,11.9,1.3,23.8,5.7,50.2,0.5,0.6,1.2,6,7,0.462,3.0,6.0,0.333,32.8,30.0,8.52,6.37,9.0,6.0,,0,1,2.4246575342465753
Jalen Milroe,https://247sports.com/player/jalen-milroe-46050317/,14,75.0,206,94,"Katy Tompkins (Katy, TX)",Katy,TX,4-7 Round - Day 3,Joshua Dobbs (Cleveland Browns),01/31/2020,Gabe Brooks,H.S. Athletic Background2019: Named the District 19-6A Overall MVP as a junior.2018: Named the District 19-6A Newcomer of the Year as a sophomore.,Alabama,9399.5,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,2.7466666666666666,25.745422222222224,0.225,-0.3,0.0393,0.0833,0.0,0.0,9.5,8.7075,13.67,57.875,121.05000000000001,0.97,9.2,0.4225,2.8,7.6,8.1675,13.1,121.05000000000001,146.4,4,2021,2020,13,48.5,24.9,32.7,76.2,358.2,3.2,36.6,183.6,5.0,2.8,69.3,541.8,7.8,16.2,10.2,1.8,28.1,6.0,48.1,0.6,0.3,0.9,13,0,1.0,10.0,0.0,1.0,48.5,19.4,30.26,9.72,3.0,1.0,1.0,1,1,2.2958579881656807
Jayden Daniels,https://247sports.com/player/jayden-daniels-89980/,2,75.0,175,97,"Cajon (San Bernardino, CA)",San Bernardino,CA,Second Round,Deshaun Watson (Cleveland Browns),10/19/2018,,"H.S. Athletic BackgroundJayden Daniels is a Quarterback from San Bernardino, CA.",Arizona State,9699.5,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,2.333333333333333,21.87111111111111,0.3111,0.4667,0.2472,0.0901,0.3333,0.0469,9.666666666666666,14.866666666666667,24.133333333333336,61.46666666666667,201.23333333333335,1.1466666666666667,4.766666666666667,0.39666666666666667,1.7,8.299999999999999,8.51,13.6,201.23333333333335,143.7,3,2019,2018,13,28.4,15.8,24.1,65.8,194.7,0.9,37.3,194.9,5.2,2.6,61.4,389.6,6.3,8.2,10.8,1.1,20.0,8.7,78.1,0.9,0.8,1.7,7,6,0.538,5.0,4.0,0.556,29.9,25.5,5.37,1.67,,23.0,,0,0,2.8907563025210083
Kedon Slovis,https://247sports.com/player/kedon-slovis-46041446/,75,74.0,186,84,"Desert Mountain (Scottsdale, AZ)",Scottsdale,AZ,4-7 Round - Day 3,Kirk Cousins (Minnesota Vikings),10/12/2018,Greg Biggins,"H.S. Athletic BackgroundKedin Slovis is a 6-2, 186-pound Pro-Style Quarterback from Scottsdale, AZ.- Named 2018 PrepStar All-Western Region and Sports360AZ All-Academic honorable mention as a senior.- Named USA Today All-Arizona honorable mention as a junior.- His quarterbacks coach at Desert Mountain was NFL Hall of Famer Kurt Warner.",USC,8399.5,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,2.5135135135135136,23.87837837837838,0.1556,0.1556,0.1492,0.0624,0.0,0.1333,9.0,24.8,36.56666666666667,67.96666666666667,283.73333333333335,2.183333333333333,5.933333333333334,0.9366666666666666,2.566666666666667,7.8,7.859999999999999,11.5,283.73333333333335,148.13333333333333,3,2019,2018,12,28.7,26.5,41.7,63.6,298.3,1.8,33.3,145.9,4.4,1.3,74.9,444.3,5.9,13.8,9.4,2.5,25.8,8.0,75.0,0.6,1.1,1.7,5,7,0.417,4.0,5.0,0.444,26.1,27.0,2.22,3.39,15.0,15.0,,0,0,2.3309608540925266
Kyle McCord,https://247sports.com/player/kyle-mccord-46047962/,8,75.0,215,97,"St. Joseph's Prep (Philadelphia, PA)",Philadelphia,PA,Second Round,Matthew Stafford (Los Angeles Rams),02/15/2020,Brian Dohn,"H.S. Athletic BackgroundPhiladelphia Catholic League MVPPennsylvania 6A State ChampionSchool record passing yards (2,883) yards as sophomore",Ohio State,9699.5,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,2.8666666666666667,26.87022222222222,0.4444,0.125,0.2,0.225,0.0,0.7,8.0,8.796666666666667,13.153333333333334,70.53333333333333,124.83333333333333,0.8466666666666667,5.733333333333333,0.3,2.3333333333333335,9.833333333333334,9.946666666666667,14.100000000000001,124.83333333333333,167.5,3,2021,2020,8,41.0,19.8,28.1,70.2,262.5,2.8,43.1,256.9,6.0,2.4,71.3,519.4,7.3,11.4,11.0,2.5,24.9,6.1,54.4,0.4,0.8,1.1,7,1,0.875,5.0,0.0,1.0,41.0,25.8,21.37,8.99,2.0,2.0,2.0,1,1,2.8222222222222224
Luke Altmyer,https://247sports.com/player/luke-altmyer-46050393/,30,74.0,190,90,"Starkville (Starkville, MS)",Starkville,MS,,Shane Buechele (SMU Mustangs),06/29/2020,Barton Simmons,H.S. Athletic BackgroundVarsity Baseball,Ole Miss,8999.5,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,2.5675675675675675,24.39189189189189,0.0,0.2333,0.7,0.0417,0.0042,0.0194,4.5,3.0,5.825,50.6,34.85,0.35,7.25,0.325,5.65,6.300000000000001,5.18,12.6,34.85,115.85,2,2021,2020,10,39.2,23.8,33.5,71.0,344.9,3.0,46.2,211.0,4.6,2.3,79.7,555.9,7.0,13.7,12.2,1.7,27.6,6.0,51.6,0.4,1.4,1.8,5,5,0.5,4.0,5.0,0.444,39.2,38.3,8.07,7.57,,,,0,0,1.0769230769230769
Marcel Reed,https://247sports.com/player/marcel-reed-46102703/,20,73.0,175,90,"Montgomery Bell Academy (Nashville, TN)",Nashville,TN,,,04/11/2022,Cooper Petagna,H.S. Athletic BackgroundAlso plays basketball. High jumped 5-8 as a sophomore in Spring 2021.2021: Helped lead Montgomery Bell to a Class Division II-AAA state title game appearance as a junior.2020: Helped MBA to a 6-3 record and the Tennessee Division II-AAA state semifinals as a sophomore.,Texas A&M,8999.5,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,2.3972602739726026,23.08594483017452,0.2361,-0.0044,0.0917,0.1423,0.2819,0.1667,9.0,12.799999999999999,20.933333333333334,60.56666666666666,179.33333333333334,1.2033333333333334,5.233333333333333,0.6000000000000001,2.8333333333333335,8.866666666666667,8.626666666666667,14.666666666666666,179.33333333333334,146.5,3,2023,2022,12,22.8,18.3,32.6,56.3,219.4,1.5,30.5,141.5,4.6,1.0,63.1,360.9,5.7,9.2,7.8,2.5,19.5,6.3,49.1,0.9,0.5,1.4,5,7,0.417,2.0,6.0,0.25,22.8,21.2,3.21,3.13,6.0,6.0,,0,1,2.005555555555555
Nico Iamaleava,https://247sports.com/player/nico-iamaleava-46101236/,2,77.0,195,100,"Warren (Long Beach, CA)",Long Beach,CA,,,04/12/2025,Cooper Petagna,"H.S. Athletic BackgroundMember of 247Sports' 2023 Freaks List.Also a top volleyball recruit and has an older brother on volleyball team at Long Beach State. Played his sophomore season at Downey (Calif.) Warren before moving back to Long Beach (Calif.) Poly.2021: As a junior threw for 2,244 yards, 33 TD, and one INT on a 59.6 completion percentage (162 of 272). Added 158 yards and three TD on 4.9 ypc. Led Warren to an 8-1 record and a CIF Southern Section Division 2 playoff appearance.",Tennessee,9999.5,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,2.5324675324675323,23.12109967954124,-0.1556,0.075,-0.0333,-0.0167,-0.05,0.0375,9.0,11.0,17.35,63.0,132.0,0.9299999999999999,5.050000000000001,0.19,0.75,7.4,8.085,11.75,132.0,140.4,2,2023,2022,13,46.1,22.3,32.5,68.7,326.1,2.9,40.2,199.5,5.0,3.1,72.7,525.5,7.2,11.9,10.3,3.2,25.4,8.1,69.6,0.6,0.2,0.8,11,2,0.846,6.0,2.0,0.75,46.1,22.8,17.9,4.98,,2.0,6.0,1,1,4.894736842105263
Noah Fifita,https://247sports.com/player/noah-fifita-46081833/,40,70.0,170,87,"Servite (Anaheim, CA)",Anaheim,CA,Power 4 Starter,,08/26/2021,Blair Angulo,"H.S. Athletic BackgroundNoah Fifita is a Quarterback from Anaheim, CA.",Arizona,8699.5,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,2.4285714285714284,24.389795918367348,0.4333,0.261,0.0,0.0,-0.1556,-0.0162,10.0,16.5,25.7075,61.150000000000006,194.15,1.5350000000000001,5.95,0.49,1.5,7.425,7.9575,12.3,194.15,140.225,4,2022,2021,12,17.2,22.3,36.9,60.5,226.3,1.0,35.2,131.0,3.7,0.5,72.1,357.3,5.0,9.9,8.1,2.7,20.7,8.8,70.4,0.4,1.5,1.9,1,11,0.083,1.0,8.0,0.111,17.2,31.4,-12.4,1.44,,,,0,0,3.1326530612244903
Preston Stone,https://247sports.com/player/preston-stone-46039887/,18,74.0,205,94,"Parish Episcopal School (Dallas, TX)",Dallas,TX,4-7 Round - Day 3,,12/14/2020,Gabe Brooks,"H.S. Athletic Background2020: As a senior, led Dallas Parish Episcopal to a second consecutive D-I state championship in Texas Association of Private and Parochial Schools.2019: Led Dallas Parish Episcopal to D-I state championship in TAPPS.2017: Second-team MaxPreps Freshman All-American.",SMU,9399.5,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,2.77027027027027,26.31756756756757,0.2525,0.0,0.0,0.0833,0.0,0.2333,7.0,6.79,11.58,54.974999999999994,99.8,0.8425,5.525,0.2025,1.45,7.275,7.720000000000001,12.85,99.8,131.35,4,2021,2020,10,38.6,24.6,37.6,65.4,318.0,2.3,37.7,176.5,4.7,2.4,75.3,494.5,6.6,12.7,9.5,2.9,25.1,6.8,59.0,0.6,0.6,1.2,7,3,0.7,4.0,3.0,0.571,38.6,30.9,0.06,-6.14,,16.0,,0,0,4.160493827160494
